customer_id,age,gender,location,monthly_income,monthly_emi_outflow,current_outstanding,credit_utilization_ratio,num_open_loans,repayment_history_score,dpd_last_3_months,num_hard_inquiries_last_6m,recent_credit_card_usage,recent_loan_disbursed_amount,total_credit_limit,months_since_last_default,target_credit_score_movement
CUST_STB_383,28,Female,Semi-Urban,71172,31621,569178,0.41,4,51,26,2,9131,44825,161665,24,stable
CUST_STB_3943,49,Female,Urban,49398,21807,152649,0.41,2,61,28,1,38618,22111,161140,14,stable
CUST_STB_6647,49,Female,Urban,54376,26136,182952,0.41,1,55,13,2,31285,8524,359773,13,stable
CUST_INC_2658,50,Male,Urban,91886,15870,126960,0.26,3,98,0,1,48593,36886,328302,30,increase
CUST_DEC_5034,59,Male,Rural,57567,52285,993415,0.92,1,21,58,6,42730,26219,65740,11,decrease
CUST_STB_13208,41,Male,Semi-Urban,36028,12950,116550,0.44,4,46,21,1,47393,20806,248593,23,stable
CUST_STB_10839,39,Female,Urban,123658,45261,497871,0.49,2,62,24,1,23168,478,135307,12,stable
CUST_STB_1046,53,Female,Semi-Urban,55383,27526,330312,0.45,2,59,19,1,22443,32250,205357,23,stable
CUST_STB_4978,55,Male,Rural,32901,13549,176137,0.43,3,64,16,1,44309,32781,181355,18,stable
CUST_DEC_654,27,Female,Urban,91105,73046,1460920,0.99,2,39,86,7,17456,45818,161569,6,decrease
CUST_STB_7086,45,Male,Urban,127497,46344,370752,0.41,2,58,29,2,49900,42157,290983,24,stable
CUST_INC_3004,50,Female,Semi-Urban,58327,9492,18984,0.19,2,97,6,1,40763,33490,107409,34,increase
CUST_STB_9623,57,Female,Urban,143724,65057,390342,0.46,2,45,14,1,6164,29664,293856,13,stable
CUST_STB_5054,24,Male,Rural,26400,12154,97232,0.45,2,62,29,1,32133,42548,68324,15,stable
CUST_DEC_700,23,Male,Urban,40683,40382,1292224,0.94,2,37,56,7,31346,47875,163678,10,decrease
CUST_INC_1816,48,Female,Urban,46933,1030,6180,0.21,4,91,4,1,31593,33038,151953,32,increase
CUST_STB_6429,37,Male,Semi-Urban,54311,25409,203272,0.47,3,47,13,1,41195,2373,121604,15,stable
CUST_STB_6751,62,Male,Rural,63438,28935,376155,0.45,1,60,27,1,35557,44031,152290,19,stable
CUST_DEC_3274,43,Male,Rural,77667,75123,2479059,0.76,4,43,84,3,32978,31217,154750,10,decrease
CUST_DEC_4676,23,Male,Semi-Urban,44716,43251,1557036,0.79,2,0,44,6,7624,13859,191982,9,decrease
CUST_STB_3581,56,Female,Rural,46707,18702,261828,0.43,2,57,29,2,11143,36501,157102,17,stable
CUST_STB_994,34,Male,Urban,47207,17388,312984,0.48,1,61,20,2,25102,38893,318811,12,stable
CUST_STB_9213,60,Male,Urban,115506,43089,560157,0.49,3,58,24,1,29371,4055,250277,19,stable
CUST_STB_5815,36,Male,Urban,119176,54675,382725,0.45,2,45,24,1,20821,16614,270720,20,stable
CUST_STB_9304,25,Male,Semi-Urban,29442,14384,258912,0.45,4,56,29,2,22729,36556,153555,19,stable
CUST_STB_8887,22,Female,Urban,50857,23537,164759,0.41,2,61,13,2,16171,7807,251908,15,stable
CUST_STB_1890,45,Female,Rural,47995,20407,163256,0.46,3,52,14,1,5168,42981,84635,21,stable
CUST_STB_13020,21,Female,Urban,90741,36683,513562,0.48,4,48,11,2,25548,5584,161240,19,stable
CUST_INC_5247,33,Male,Urban,117614,18073,54219,0.21,3,96,4,1,13225,14015,300246,35,increase
CUST_INC_1383,22,Female,Urban,78128,8201,32804,0.13,3,94,8,1,11430,28470,374941,25,increase
CUST_STB_9104,57,Male,Semi-Urban,33918,12587,201392,0.48,2,53,12,2,13380,17072,225225,20,stable
CUST_STB_3579,42,Male,Urban,129950,49244,590928,0.48,4,56,23,2,23239,44640,105126,21,stable
CUST_STB_1247,35,Female,Urban,59491,25354,405664,0.44,3,58,10,2,34354,7169,280526,20,stable
CUST_INC_1216,45,Female,Urban,83411,8175,57225,0.22,3,90,3,1,35401,20962,340347,27,increase
CUST_INC_4086,64,Female,Urban,87654,8898,71184,0.21,3,91,5,1,23318,29890,354077,31,increase
CUST_STB_7548,64,Male,Urban,41127,16835,286195,0.41,4,58,17,2,23335,18405,185568,21,stable
CUST_INC_2722,49,Male,Urban,138014,21097,42194,0.16,2,88,4,1,41550,47031,274738,35,increase
CUST_STB_1685,56,Male,Semi-Urban,49689,20737,290318,0.5,4,50,24,1,27218,31873,130482,23,stable
CUST_DEC_3912,31,Male,Semi-Urban,52477,38431,691758,0.85,2,37,67,5,24535,38281,90944,12,decrease
CUST_STB_675,57,Female,Urban,125879,45370,589810,0.5,1,59,20,2,23705,555,257541,17,stable
CUST_DEC_2559,52,Male,Semi-Urban,26341,18873,452952,0.79,1,37,57,6,43023,38323,143265,8,decrease
CUST_RND_1337,46,Male,Semi-Urban,135659,40123,398181,0.62,3,27,76,2,28106,21758,131924,1,increase
CUST_INC_4499,39,Female,Urban,127215,23481,70443,0.24,3,89,3,0,11107,18702,209912,36,increase
CUST_STB_10785,62,Male,Rural,20111,9506,104566,0.49,1,45,16,2,37378,28473,181966,13,stable
CUST_STB_2394,22,Male,Urban,41280,17879,178790,0.43,1,51,19,2,32077,7637,245219,12,stable
CUST_STB_6798,60,Female,Rural,74975,26795,214360,0.42,4,56,16,2,11990,40509,133593,20,stable
CUST_STB_8320,43,Male,Urban,81680,37856,302848,0.41,1,59,27,1,43502,41878,193629,24,stable
CUST_STB_960,41,Male,Urban,123721,55222,662664,0.47,1,56,23,2,35226,7614,371372,19,stable
CUST_INC_3465,61,Female,Urban,77865,6480,38880,0.16,3,93,0,0,26028,48059,261071,34,increase
CUST_RND_1044,61,Male,Semi-Urban,57642,106263,101662,0.38,4,15,7,2,76777,99556,217954,28,decrease
CUST_INC_2377,28,Male,Urban,46829,2169,17352,0.16,1,86,7,1,35336,41760,251597,30,increase
CUST_STB_10546,30,Male,Urban,44987,18652,317084,0.45,1,48,19,2,22685,45123,116891,24,stable
CUST_STB_13433,36,Female,Urban,136681,52158,365106,0.48,2,50,25,1,24093,45754,230140,18,stable
CUST_DEC_239,25,Male,Urban,101115,55848,893568,0.92,4,22,54,7,8119,36600,354297,6,decrease
CUST_STB_2908,50,Female,Urban,55653,23620,236200,0.46,2,51,11,1,22191,43619,120674,14,stable
CUST_STB_7429,64,Male,Semi-Urban,45290,17491,209892,0.45,4,54,26,1,16947,30283,212389,23,stable
CUST_STB_10398,37,Female,Urban,58400,27023,243207,0.4,1,50,21,2,38164,36012,301276,24,stable
CUST_STB_346,32,Female,Urban,117243,44641,446410,0.43,4,64,22,1,43889,1200,252297,18,stable
CUST_RND_420,58,Female,Rural,117071,101883,126515,0.38,3,68,33,3,4617,98888,222336,28,decrease
CUST_STB_3442,55,Male,Urban,135330,61615,554535,0.47,2,49,11,1,24726,1555,168070,12,stable
CUST_DEC_1327,40,Female,Urban,93072,59548,1012316,0.75,2,1,70,5,26001,36043,324460,10,decrease
CUST_STB_4686,21,Male,Urban,56260,20964,377352,0.46,4,50,20,2,29153,21996,187576,15,stable
CUST_STB_4547,54,Female,Urban,118275,56839,625229,0.43,4,55,18,1,23008,14260,201590,14,stable
CUST_DEC_594,53,Female,Rural,20976,18643,335574,0.9,1,0,65,5,26828,30610,83764,12,decrease
CUST_STB_2196,23,Female,Semi-Urban,96445,40769,448459,0.47,3,56,21,1,15056,715,206441,17,stable
CUST_STB_2580,25,Male,Urban,110854,44657,669855,0.45,3,63,11,2,9453,21181,194805,23,stable
CUST_DEC_4352,38,Male,Urban,45942,32745,523920,0.99,1,11,61,3,27486,16493,224592,8,decrease
CUST_INC_66,51,Female,Urban,101400,6283,50264,0.29,4,95,5,0,48378,36060,186669,35,increase
CUST_INC_4949,23,Female,Urban,134432,23533,47066,0.17,2,90,1,1,18844,39579,319286,25,increase
CUST_STB_2010,37,Female,Semi-Urban,38102,14401,259218,0.48,2,64,20,2,21667,30632,170593,17,stable
CUST_STB_1423,49,Female,Rural,24601,8847,123858,0.44,2,60,19,1,45854,36450,62930,15,stable
CUST_INC_1519,21,Male,Semi-Urban,41861,7584,15168,0.13,1,97,8,1,24833,14526,208453,26,increase
CUST_STB_4120,22,Female,Urban,124801,45543,364344,0.42,1,55,15,1,11905,4638,289866,17,stable
CUST_STB_11925,63,Male,Urban,124851,46120,322840,0.49,2,60,21,2,47936,4553,106319,18,stable
CUST_STB_13370,50,Male,Urban,84441,39095,234570,0.43,3,54,22,1,7529,16594,202113,13,stable
CUST_STB_3352,54,Male,Semi-Urban,65373,25573,230157,0.46,1,59,12,2,17965,19233,154456,21,stable
CUST_DEC_2639,63,Male,Semi-Urban,28859,20689,434469,0.74,4,12,66,6,16362,11774,176812,8,decrease
CUST_INC_4034,61,Female,Urban,128338,12559,50236,0.19,4,96,2,0,32220,15282,345932,34,increase
CUST_STB_6187,39,Female,Urban,53560,25172,226548,0.42,4,54,23,2,34591,9046,324854,24,stable
CUST_STB_5648,50,Female,Semi-Urban,56437,19753,197530,0.42,4,52,20,2,23488,15871,168860,19,stable
CUST_STB_8407,59,Female,Urban,60438,29859,447885,0.4,1,50,24,1,10160,30064,352614,21,stable
CUST_STB_9578,37,Female,Rural,53217,19189,191890,0.44,2,49,15,1,24417,21766,67568,22,stable
CUST_STB_6245,45,Female,Urban,106235,44347,709552,0.46,2,62,10,1,20540,44088,264192,14,stable
CUST_INC_1876,64,Male,Urban,61281,2375,11875,0.11,4,92,3,1,6649,31472,374629,35,increase
CUST_STB_1924,23,Male,Rural,33725,15155,257635,0.49,2,52,11,2,28089,1702,144852,20,stable
CUST_DEC_3281,23,Female,Urban,58794,52048,624576,0.88,2,17,41,7,39613,42669,206380,8,decrease
CUST_STB_1449,34,Female,Urban,61661,27673,249057,0.49,1,64,26,1,29198,7735,272097,20,stable
CUST_STB_2982,43,Female,Urban,52099,23620,188960,0.4,1,60,16,1,34361,21880,214159,20,stable
CUST_STB_197,60,Female,Urban,130900,54721,930257,0.45,3,52,17,1,30431,31186,353211,12,stable
CUST_STB_3001,30,Female,Urban,65639,28422,198954,0.46,3,57,20,2,22910,28186,298824,19,stable
CUST_DEC_2001,63,Male,Urban,113244,107812,3234360,0.84,2,16,74,3,45859,34254,261037,8,decrease
CUST_INC_319,48,Male,Semi-Urban,56580,1530,3060,0.29,2,86,5,1,14120,43987,195269,31,increase
CUST_DEC_2327,49,Female,Urban,132292,117832,2120976,0.85,2,47,56,5,39885,23087,224428,6,decrease
CUST_STB_2749,41,Female,Urban,132206,54269,922573,0.43,3,58,21,1,13524,10071,156221,20,stable
CUST_DEC_4063,42,Male,Semi-Urban,65012,54198,1896930,0.71,1,12,79,7,6601,36285,152903,11,decrease
CUST_STB_9170,53,Male,Semi-Urban,79213,36496,510944,0.49,1,48,22,2,16033,30560,93637,18,stable
CUST_STB_4161,38,Female,Rural,58842,22248,400464,0.42,3,48,22,2,22506,1957,118108,24,stable
CUST_DEC_3108,48,Male,Rural,72337,61945,1734460,0.93,1,4,67,6,46749,39140,125393,11,decrease
CUST_DEC_3275,35,Female,Urban,83577,72600,2105400,0.73,4,31,45,3,43355,39409,350933,9,decrease
CUST_STB_12795,34,Female,Urban,91257,35102,386122,0.49,2,50,27,2,38810,9053,247983,22,stable
CUST_STB_12439,51,Male,Rural,47360,18679,298864,0.42,3,60,25,2,18188,48100,75296,15,stable
CUST_INC_8,56,Male,Semi-Urban,79234,6594,39564,0.17,4,98,0,1,47198,21831,159774,35,increase
CUST_RND_707,24,Female,Rural,26711,17771,360890,0.18,2,91,32,2,75511,7773,287980,10,increase
CUST_DEC_3216,46,Male,Urban,48887,43339,606746,0.73,1,18,68,4,34543,26326,367153,6,decrease
CUST_RND_1457,42,Female,Urban,101115,12871,436180,0.09,6,55,66,8,95447,66089,370924,5,decrease
CUST_INC_4566,28,Female,Rural,54902,6202,37212,0.16,3,94,2,0,25007,291,199815,32,increase
CUST_STB_10728,26,Female,Rural,35841,13102,157224,0.49,1,47,22,2,21369,22534,161927,20,stable
CUST_INC_222,32,Female,Urban,149852,15381,30762,0.27,2,98,2,0,8146,28779,365015,29,increase
CUST_DEC_4004,27,Male,Urban,131351,118455,4264380,0.93,4,20,85,7,20193,21414,224230,12,decrease
CUST_STB_7889,38,Male,Urban,44187,21177,360009,0.46,3,62,24,2,11312,48754,241130,13,stable
CUST_STB_1203,33,Female,Urban,102670,39701,317608,0.46,4,48,17,1,27631,31622,225613,13,stable
CUST_STB_8049,42,Female,Semi-Urban,52650,21221,127326,0.45,2,57,21,2,34736,31650,215471,15,stable
CUST_DEC_172,37,Male,Urban,78105,53668,644016,0.76,4,9,51,4,9113,34027,107398,9,decrease
CUST_DEC_3121,26,Female,Semi-Urban,69068,66643,1399503,0.88,1,25,64,6,40326,14350,166869,12,decrease
CUST_INC_233,22,Male,Semi-Urban,79042,15088,120704,0.11,3,96,9,0,32142,18220,83418,33,increase
CUST_STB_8871,21,Female,Urban,100992,43965,571545,0.44,1,46,16,1,22561,8177,327206,23,stable
CUST_INC_2164,33,Male,Rural,78376,10027,30081,0.12,2,94,6,1,43069,20593,199704,36,increase
CUST_STB_6550,27,Female,Rural,55203,20802,124812,0.4,1,62,12,1,35829,19606,175918,17,stable
CUST_DEC_1104,49,Female,Rural,35797,30886,1081010,0.95,3,31,65,3,31445,28398,130849,6,decrease
CUST_DEC_548,51,Female,Urban,84762,57433,1148660,0.78,4,1,50,3,15588,16690,324476,7,decrease
CUST_STB_10804,59,Male,Urban,45134,21085,337360,0.48,3,62,26,1,40784,19789,290586,13,stable
CUST_INC_2246,39,Male,Urban,92928,10097,50485,0.14,2,97,3,1,22949,33439,334790,36,increase
CUST_STB_10581,41,Male,Urban,55210,24709,420053,0.46,2,51,27,2,20891,31973,302786,20,stable
CUST_INC_1375,59,Female,Urban,96845,9356,74848,0.11,1,96,1,1,33296,19643,204543,26,increase
CUST_STB_6519,64,Male,Rural,78937,30088,330968,0.47,3,49,20,2,6973,37141,190119,15,stable
CUST_INC_2986,64,Female,Semi-Urban,38356,2318,18544,0.21,1,99,6,0,41573,1288,128540,24,increase
CUST_DEC_4116,46,Female,Urban,88366,81174,974088,0.76,1,19,32,6,20163,20931,106066,7,decrease
CUST_INC_4390,31,Female,Urban,98378,18415,55245,0.14,3,92,6,1,15247,11378,146129,26,increase
CUST_INC_876,57,Male,Urban,80221,10560,52800,0.29,2,88,2,1,20896,38566,125833,24,increase
CUST_STB_12984,28,Male,Semi-Urban,95081,35598,213588,0.49,2,64,14,2,42042,489,243109,21,stable
CUST_INC_4428,51,Male,Semi-Urban,68047,11151,78057,0.15,2,89,1,0,32982,41165,71963,25,increase
CUST_STB_11936,50,Male,Rural,56130,23279,256069,0.42,2,62,16,2,11181,49538,195503,23,stable
CUST_STB_2215,25,Male,Rural,78153,30441,273969,0.5,1,52,17,2,21911,17551,191305,21,stable
CUST_INC_2746,35,Female,Semi-Urban,74526,8643,69144,0.29,1,91,0,0,33858,17399,67157,33,increase
CUST_DEC_422,25,Female,Semi-Urban,28539,18849,490074,0.81,2,46,67,5,42650,22986,111749,6,decrease
CUST_INC_1645,24,Male,Semi-Urban,38842,3109,21763,0.15,2,91,4,0,11135,38151,168786,31,increase
CUST_STB_5536,40,Male,Rural,37602,18322,293152,0.4,4,60,17,1,14844,46755,165393,16,stable
CUST_STB_12484,35,Male,Semi-Urban,46420,18558,278370,0.44,4,57,25,2,20173,47113,136927,17,stable
CUST_INC_3625,60,Male,Semi-Urban,28973,3351,13404,0.27,3,96,7,0,43345,32071,179077,36,increase
CUST_RND_543,39,Female,Rural,49138,55215,193820,0.45,0,30,99,6,40172,31262,340905,12,increase
CUST_STB_4811,30,Female,Rural,47618,23294,326116,0.49,1,45,11,1,10367,30525,163628,14,stable
CUST_INC_1225,31,Male,Urban,48391,7136,28544,0.1,2,93,3,1,13959,15595,332052,28,increase
CUST_DEC_971,61,Female,Semi-Urban,48779,36968,517552,0.89,2,33,58,6,17587,47255,132629,6,decrease
CUST_STB_4795,27,Male,Urban,136239,66883,601947,0.43,3,52,21,2,28729,15719,232235,12,stable
CUST_RND_1721,26,Female,Semi-Urban,57785,55233,469449,0.99,5,97,42,9,4877,23464,351161,32,stable
CUST_DEC_716,57,Female,Semi-Urban,65930,40161,963864,0.97,2,8,73,7,12885,49432,87433,12,decrease
CUST_STB_7886,39,Female,Semi-Urban,52753,25354,152124,0.43,4,50,21,2,23426,19306,84431,14,stable
CUST_INC_5121,51,Male,Semi-Urban,71185,7386,44316,0.18,4,92,8,1,6160,23617,139587,26,increase
CUST_STB_12576,32,Male,Rural,53523,18804,244452,0.47,3,52,18,2,45443,46141,197362,21,stable
CUST_DEC_3594,48,Female,Urban,120458,104616,2929248,0.91,2,42,80,3,36524,38630,151128,9,decrease
CUST_STB_2436,37,Male,Urban,69403,25228,327964,0.47,2,45,18,2,29966,7688,299109,14,stable
CUST_DEC_1974,26,Female,Semi-Urban,39075,25867,413872,0.72,3,26,65,7,28769,44593,102628,6,decrease
CUST_STB_11177,21,Male,Urban,43700,20655,268515,0.43,2,51,15,2,23923,22390,315622,21,stable
CUST_STB_1805,45,Female,Semi-Urban,92959,34108,204648,0.46,2,63,21,1,20164,12222,70772,13,stable
CUST_RND_1886,39,Male,Urban,93348,45078,11892,0.1,1,17,99,7,37903,42912,189992,27,decrease
CUST_STB_9713,63,Male,Semi-Urban,54289,22536,180288,0.42,3,57,19,2,40285,36682,183019,14,stable
CUST_STB_6905,52,Male,Urban,118887,56635,339810,0.44,2,53,26,2,14729,11579,197410,22,stable
CUST_STB_8257,44,Female,Rural,68167,24362,438516,0.46,2,53,29,2,8350,25425,106653,16,stable
CUST_INC_3268,23,Female,Semi-Urban,35429,3810,7620,0.27,1,98,1,0,43100,48254,149189,35,increase
CUST_STB_5077,30,Female,Urban,149550,73635,515445,0.45,2,64,15,1,6827,4111,110727,14,stable
CUST_STB_5043,32,Female,Urban,96801,42551,510612,0.44,2,52,10,2,20999,43070,343439,21,stable
CUST_STB_2623,49,Male,Urban,111341,40171,602565,0.4,4,55,28,2,11603,24744,152879,13,stable
CUST_INC_3250,27,Male,Semi-Urban,35439,5038,15114,0.12,3,98,3,1,26103,32230,240821,30,increase
CUST_STB_10944,38,Female,Urban,64245,26559,345267,0.47,4,59,13,2,24065,43101,213589,14,stable
CUST_DEC_2018,22,Male,Rural,75515,63188,1326948,0.98,3,38,40,3,20092,13329,142454,8,decrease
CUST_STB_3299,46,Female,Urban,104552,44371,354968,0.49,4,55,26,1,44166,34783,153583,20,stable
CUST_STB_1228,23,Female,Semi-Urban,61368,29971,539478,0.48,1,45,25,1,48675,29361,106609,15,stable
CUST_DEC_3638,47,Male,Semi-Urban,68044,55091,1983276,0.87,3,22,68,7,6627,25950,165880,10,decrease
CUST_STB_8471,62,Female,Urban,110311,53440,587840,0.42,3,53,23,1,32879,4066,275287,21,stable
CUST_STB_4690,62,Female,Urban,120106,54821,877136,0.44,1,51,14,2,32777,25310,276248,12,stable
CUST_STB_12573,62,Male,Semi-Urban,26076,9304,158168,0.49,2,54,22,1,29379,35175,200509,23,stable
CUST_RND_148,63,Male,Rural,46968,8537,357234,0.27,7,76,94,9,11921,63274,364609,22,increase
CUST_INC_722,52,Male,Rural,71309,6701,40206,0.12,4,94,0,1,26795,44240,51255,35,increase
CUST_RND_1884,63,Female,Urban,114816,77377,454836,0.5,1,11,82,1,38856,96867,383452,27,stable
CUST_DEC_1038,31,Female,Urban,84053,54142,1191124,0.77,2,34,82,6,17255,41063,147534,9,decrease
CUST_DEC_4164,42,Male,Semi-Urban,26517,26430,766470,0.78,1,31,74,5,13083,30976,239098,12,decrease
CUST_INC_1002,34,Female,Urban,98672,9042,27126,0.27,4,93,5,1,16375,4936,189960,26,increase
CUST_STB_9454,41,Female,Rural,63969,27074,487332,0.43,1,53,10,2,6062,29651,147239,18,stable
CUST_INC_3231,38,Male,Rural,26530,4033,32264,0.29,2,97,2,1,20965,40284,144050,28,increase
CUST_DEC_1114,59,Female,Semi-Urban,54271,50568,809088,0.93,4,8,45,5,32668,5593,229242,10,decrease
CUST_INC_2748,50,Female,Semi-Urban,77593,13215,105720,0.2,4,87,3,0,47384,48321,163662,35,increase
CUST_STB_342,57,Female,Semi-Urban,43257,18397,165573,0.45,2,55,15,2,43506,5668,206427,19,stable
CUST_STB_2464,21,Female,Urban,58090,27244,408660,0.46,4,49,25,2,16802,36462,336710,18,stable
